[2026-04-19 16:42:25] ✅ LUCRO: $0.1702 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:42:31] ✅ LUCRO: $0.1702 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:42:38] ✅ LUCRO: $0.1873 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:42:44] ✅ LUCRO: $0.1873 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:42:51] ✅ LUCRO: $0.1998 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:42:58] ✅ LUCRO: $0.1771 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:43:04] ✅ LUCRO: $0.1771 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:43:11] ✅ LUCRO: $0.1766 | UNI_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:43:17] ✅ LUCRO: $0.1568 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:43:23] ✅ LUCRO: $0.1677 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:43:30] ✅ LUCRO: $0.1747 | UNI_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:43:36] ✅ LUCRO: $0.1747 | UNI_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:43:43] ✅ LUCRO: $0.2191 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:43:50] ✅ LUCRO: $0.2191 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:43:56] ✅ LUCRO: $0.2358 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:44:02] ✅ LUCRO: $0.2358 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:44:09] ✅ LUCRO: $0.2050 | UNI_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:44:15] ✅ LUCRO: $0.2050 | UNI_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:44:22] ✅ LUCRO: $0.1814 | PAN_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 16:44:28] ✅ LUCRO: $0.1670 | UNI_V3 -> UNI_V3 -> PAN_V3
[2026-04-19 17:14:23] ✅ LUCRO: $414.6082 | PAN_V3 -> SUSHI_V3 -> SUSHI_V3
[2026-04-19 17:14:42] ✅ LUCRO: $414.6959 | PAN_V3 -> SUSHI_V3 -> SUSHI_V3
[2026-04-19 17:15:05] ✅ LUCRO: $414.6959 | PAN_V3 -> SUSHI_V3 -> SUSHI_V3
[2026-04-19 17:15:24] ✅ LUCRO: $414.6069 | PAN_V3 -> SUSHI_V3 -> SUSHI_V3
[2026-04-19 17:15:43] ✅ LUCRO: $414.5879 | PAN_V3 -> SUSHI_V3 -> SUSHI_V3
[2026-04-19 17:16:59] ✅ LUCRO: $414.5167 | UNI_V3 -> SUSHI_V3 -> SUSHI_V3
[2026-04-19 17:33:32] ✅ LUCRO: $0.1176 | SUSHI_V3 -> PAN_V3 -> UNI_V3
[2026-04-19 17:34:29] ✅ LUCRO: $0.1176 | SUSHI_V3 -> PAN_V3 -> UNI_V3
[2026-04-19 17:55:00] ✅ LUCRO: $4.3893 | USDC-WETH-ARB via PAN_V3 | SUSHI_V3 | SUSHI_V3
[2026-04-19 17:56:00] ✅ LUCRO: $117.4033 | USDC-WETH-LINK via PAN_V3 | SUSHI_V3 | SUSHI_V3
[2026-04-19 17:58:14] ✅ LUCRO: $4.2717 | USDC-WETH-ARB via PAN_V3 | SUSHI_V3 | SUSHI_V3
[2026-04-19 18:02:10] ✅ LUCRO: $0.6015 | USDC-WETH-LINK via PAN_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:05:07] ✅ LUCRO: $0.6725 | USDC-WETH-LINK via PAN_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:08:07] ✅ LUCRO: $0.5376 | USDC-WETH-LINK via PAN_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:11:05] ✅ LUCRO: $0.4848 | USDC-WETH-LINK via PAN_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:14:07] ✅ LUCRO: $0.4787 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:17:01] ✅ LUCRO: $0.3338 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:20:00] ✅ LUCRO: $0.3151 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:23:33] ✅ LUCRO: $0.1745 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:26:34] ✅ LUCRO: $0.2305 | USDC-WETH-LINK via PAN_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:27:34] ✅ LUCRO: $0.2268 | WETH-ARB-LINK via PAN_V3 | UNI_V3 | PAN_V3
[2026-04-19 18:29:32] ✅ LUCRO: $0.1745 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:30:33] ✅ LUCRO: $0.3447 | WETH-ARB-LINK via PAN_V3 | UNI_V3 | PAN_V3
[2026-04-19 18:32:39] ✅ LUCRO: $0.1745 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:33:40] ✅ LUCRO: $0.4675 | WETH-ARB-LINK via PAN_V3 | UNI_V3 | PAN_V3
[2026-04-19 18:35:38] ✅ LUCRO: $0.2628 | USDC-WETH-LINK via PAN_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 18:36:39] ✅ LUCRO: $0.5478 | WETH-ARB-LINK via PAN_V3 | UNI_V3 | UNI_V3
[2026-04-19 20:49:07] ✅ LUCRO: $0.2645 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 20:52:05] ✅ LUCRO: $0.2645 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 20:55:01] ✅ LUCRO: $0.2645 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 20:57:58] ✅ LUCRO: $0.2645 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 21:01:00] ✅ LUCRO: $0.2645 | USDC-WETH-LINK via UNI_V3 | SUSHI_V3 | UNI_V3
[2026-04-19 21:05:27] ✅ LUCRO: $0.5098 | USDC-WETH-LINK via PAN_V3 | SUSHI_V3 | UNI_V3
